pop,sample,super_pop,gender,population_name
BEB,HG04161,SAS,male,bengali
BEB,HG03607,SAS,female,bengali
BEB,HG03611,SAS,female,bengali
BEB,HG04134,SAS,male,bengali
BEB,HG03902,SAS,male,bengali
BEB,HG04176,SAS,male,bengali
BEB,HG03940,SAS,female,bengali
BEB,HG03941,SAS,male,bengali
BEB,HG03594,SAS,male,bengali
BEB,HG03793,SAS,female,bengali
BEB,HG03796,SAS,female,bengali
BEB,HG03919,SAS,female,bengali
BEB,HG03920,SAS,male,bengali
BEB,HG03922,SAS,female,bengali
BEB,HG03603,SAS,male,bengali
BEB,HG04131,SAS,male,bengali
BEB,HG03833,SAS,male,bengali
BEB,HG04140,SAS,male,bengali
BEB,HG03832,SAS,female,bengali
BEB,HG04177,SAS,female,bengali
BEB,HG04180,SAS,female,bengali
BEB,HG04152,SAS,male,bengali
BEB,HG04183,SAS,female,bengali
BEB,HG04185,SAS,male,bengali
BEB,HG04155,SAS,male,bengali
BEB,HG04156,SAS,female,bengali
BEB,HG04158,SAS,male,bengali
BEB,HG03826,SAS,female,bengali
BEB,HG03604,SAS,female,bengali
BEB,HG04194,SAS,male,bengali
BEB,HG04195,SAS,female,bengali
BEB,HG03817,SAS,female,bengali
BEB,HG04153,SAS,female,bengali
BEB,HG04144,SAS,female,bengali
BEB,HG04182,SAS,male,bengali
BEB,HG04188,SAS,male,bengali
BEB,HG03908,SAS,male,bengali
BEB,HG03823,SAS,female,bengali
BEB,HG04186,SAS,female,bengali
BEB,HG03830,SAS,male,bengali
BEB,HG03917,SAS,male,bengali
BEB,HG04189,SAS,female,bengali
BEB,HG03829,SAS,female,bengali
BEB,HG04146,SAS,male,bengali
BEB,HG03815,SAS,male,bengali
BEB,HG03821,SAS,male,bengali
BEB,HG03914,SAS,male,bengali
BEB,HG03916,SAS,female,bengali
BEB,HG03913,SAS,female,bengali
BEB,HG03905,SAS,male,bengali
BEB,HG03910,SAS,female,bengali
BEB,HG03911,SAS,male,bengali
BEB,HG03824,SAS,male,bengali
BEB,HG03907,SAS,female,bengali
CDX,HG02250,EAS,male,dai_chinese
CDX,HG01798,EAS,female,dai_chinese
CDX,HG00879,EAS,female,dai_chinese
CDX,HG00956,EAS,female,dai_chinese
CDX,HG00978,EAS,female,dai_chinese
CDX,HG00982,EAS,male,dai_chinese
CDX,HG02410,EAS,male,dai_chinese
CDX,HG01795,EAS,female,dai_chinese
CDX,HG01796,EAS,female,dai_chinese
CDX,HG01797,EAS,female,dai_chinese
CDX,HG02408,EAS,male,dai_chinese
CDX,HG02409,EAS,male,dai_chinese
CDX,HG00881,EAS,male,dai_chinese
CDX,HG02392,EAS,male,dai_chinese
CDX,HG02394,EAS,male,dai_chinese
CDX,HG01028,EAS,male,dai_chinese
CDX,HG02402,EAS,male,dai_chinese
CDX,HG02406,EAS,male,dai_chinese
CDX,HG02407,EAS,male,dai_chinese
CDX,HG02364,EAS,male,dai_chinese
CDX,HG02367,EAS,male,dai_chinese
CDX,HG02164,EAS,female,dai_chinese
CDX,HG02371,EAS,male,dai_chinese
CDX,HG02373,EAS,male,dai_chinese
CDX,HG02395,EAS,male,dai_chinese
CDX,HG01029,EAS,female,dai_chinese
CDX,HG01031,EAS,male,dai_chinese
CDX,HG01046,EAS,female,dai_chinese
CDX,HG01794,EAS,female,dai_chinese
CDX,HG02355,EAS,male,dai_chinese
CDX,HG02356,EAS,male,dai_chinese
CDX,HG02360,EAS,male,dai_chinese
CDX,HG00864,EAS,female,dai_chinese
CDX,HG00867,EAS,female,dai_chinese
CDX,HG02190,EAS,female,dai_chinese
CDX,HG02391,EAS,male,dai_chinese
CDX,HG01813,EAS,female,dai_chinese
CDX,HG01815,EAS,female,dai_chinese
CDX,HG02396,EAS,male,dai_chinese
CDX,HG02397,EAS,male,dai_chinese
CDX,HG02351,EAS,male,dai_chinese
CDX,HG02353,EAS,male,dai_chinese
CDX,HG02401,EAS,male,dai_chinese
CDX,HG02153,EAS,female,dai_chinese
CDX,HG02154,EAS,female,dai_chinese
CDX,HG02155,EAS,female,dai_chinese
CDX,HG02156,EAS,female,dai_chinese
CDX,HG01810,EAS,male,dai_chinese
CDX,HG01811,EAS,male,dai_chinese
CDX,HG01812,EAS,female,dai_chinese
CDX,HG01799,EAS,female,dai_chinese
CDX,HG01816,EAS,male,dai_chinese
CDX,HG01817,EAS,female,dai_chinese
CDX,HG02398,EAS,male,dai_chinese
CDX,HG02399,EAS,male,dai_chinese
CDX,HG02152,EAS,female,dai_chinese
CDX,HG00766,EAS,female,dai_chinese
CDX,HG00844,EAS,male,dai_chinese
CDX,HG00851,EAS,female,dai_chinese
CDX,HG02188,EAS,female,dai_chinese
CDX,HG02385,EAS,male,dai_chinese
CDX,HG02386,EAS,male,dai_chinese
CDX,HG02389,EAS,male,dai_chinese
CDX,HG02390,EAS,male,dai_chinese
CDX,HG01800,EAS,female,dai_chinese
CDX,HG01801,EAS,female,dai_chinese
CDX,HG01802,EAS,female,dai_chinese
CDX,HG02151,EAS,female,dai_chinese
CDX,HG00759,EAS,female,dai_chinese
CDX,HG01806,EAS,female,dai_chinese
CDX,HG01807,EAS,female,dai_chinese
CDX,HG01808,EAS,female,dai_chinese
CDX,HG01809,EAS,female,dai_chinese
CDX,HG02184,EAS,female,dai_chinese
CDX,HG02185,EAS,female,dai_chinese
CDX,HG02186,EAS,female,dai_chinese
CDX,HG02187,EAS,female,dai_chinese
CDX,HG01805,EAS,female,dai_chinese
CDX,HG02165,EAS,female,dai_chinese
CDX,HG02374,EAS,male,dai_chinese
CDX,HG01804,EAS,female,dai_chinese
CDX,HG02384,EAS,male,dai_chinese
CDX,HG02380,EAS,male,dai_chinese
CDX,HG02382,EAS,male,dai_chinese
CDX,HG02383,EAS,male,dai_chinese
CDX,HG02375,EAS,male,dai_chinese
CDX,HG02379,EAS,male,dai_chinese
CDX,HG02179,EAS,female,dai_chinese
